id,bulletin_date,table_type,category,country,priority_date,is_current,is_unavailable,scraped_at
465.0,2026-06-01,Dates_for_Filing,3rd,Philippines,2024-01-01,0,0,2026-06-22 19:08:28
471.0,2026-06-01,Dates_for_Filing,4th,All_Chargeability_Areas,2023-01-01,0,0,2026-06-22 19:08:28
472.0,2026-06-01,Dates_for_Filing,4th,China,2023-01-01,0,0,2026-06-22 19:08:28
473.0,2026-06-01,Dates_for_Filing,4th,India,2023-01-01,0,0,2026-06-22 19:08:28
474.0,2026-06-01,Dates_for_Filing,4th,Mexico,2023-01-01,0,0,2026-06-22 19:08:28
475.0,2026-06-01,Dates_for_Filing,4th,Philippines,2023-01-01,0,0,2026-06-22 19:08:28
491.0,2026-06-01,Dates_for_Filing,5th High Unemployment,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
492.0,2026-06-01,Dates_for_Filing,5th High Unemployment,China,CURRENT,1,0,2026-06-22 19:08:28
493.0,2026-06-01,Dates_for_Filing,5th High Unemployment,India,CURRENT,1,0,2026-06-22 19:08:28
494.0,2026-06-01,Dates_for_Filing,5th High Unemployment,Mexico,CURRENT,1,0,2026-06-22 19:08:28
495.0,2026-06-01,Dates_for_Filing,5th High Unemployment,Philippines,CURRENT,1,0,2026-06-22 19:08:28
496.0,2026-06-01,Dates_for_Filing,5th Infrastructure,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
497.0,2026-06-01,Dates_for_Filing,5th Infrastructure,China,CURRENT,1,0,2026-06-22 19:08:28
498.0,2026-06-01,Dates_for_Filing,5th Infrastructure,India,CURRENT,1,0,2026-06-22 19:08:28
499.0,2026-06-01,Dates_for_Filing,5th Infrastructure,Mexico,CURRENT,1,0,2026-06-22 19:08:28
500.0,2026-06-01,Dates_for_Filing,5th Infrastructure,Philippines,CURRENT,1,0,2026-06-22 19:08:28
486.0,2026-06-01,Dates_for_Filing,5th Rural,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
487.0,2026-06-01,Dates_for_Filing,5th Rural,China,CURRENT,1,0,2026-06-22 19:08:28
488.0,2026-06-01,Dates_for_Filing,5th Rural,India,CURRENT,1,0,2026-06-22 19:08:28
489.0,2026-06-01,Dates_for_Filing,5th Rural,Mexico,CURRENT,1,0,2026-06-22 19:08:28
490.0,2026-06-01,Dates_for_Filing,5th Rural,Philippines,CURRENT,1,0,2026-06-22 19:08:28
481.0,2026-06-01,Dates_for_Filing,5th Unreserved,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
482.0,2026-06-01,Dates_for_Filing,5th Unreserved,China,2017-03-01,0,0,2026-06-22 19:08:28
483.0,2026-06-01,Dates_for_Filing,5th Unreserved,India,2024-05-01,0,0,2026-06-22 19:08:28
484.0,2026-06-01,Dates_for_Filing,5th Unreserved,Mexico,CURRENT,1,0,2026-06-22 19:08:28
485.0,2026-06-01,Dates_for_Filing,5th Unreserved,Philippines,CURRENT,1,0,2026-06-22 19:08:28
476.0,2026-06-01,Dates_for_Filing,Certain Religious Workers,All_Chargeability_Areas,2023-01-01,0,0,2026-06-22 19:08:28
477.0,2026-06-01,Dates_for_Filing,Certain Religious Workers,China,2023-01-01,0,0,2026-06-22 19:08:28
478.0,2026-06-01,Dates_for_Filing,Certain Religious Workers,India,2023-01-01,0,0,2026-06-22 19:08:28
479.0,2026-06-01,Dates_for_Filing,Certain Religious Workers,Mexico,2023-01-01,0,0,2026-06-22 19:08:28
480.0,2026-06-01,Dates_for_Filing,Certain Religious Workers,Philippines,2023-01-01,0,0,2026-06-22 19:08:28
466.0,2026-06-01,Dates_for_Filing,Other Workers,All_Chargeability_Areas,2022-08-01,0,0,2026-06-22 19:08:28
467.0,2026-06-01,Dates_for_Filing,Other Workers,China,2019-10-01,0,0,2026-06-22 19:08:28
468.0,2026-06-01,Dates_for_Filing,Other Workers,India,2015-01-15,0,0,2026-06-22 19:08:28
469.0,2026-06-01,Dates_for_Filing,Other Workers,Mexico,2022-08-01,0,0,2026-06-22 19:08:28
470.0,2026-06-01,Dates_for_Filing,Other Workers,Philippines,2022-08-01,0,0,2026-06-22 19:08:28
401.0,2026-06-01,Final_Action,1st,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
402.0,2026-06-01,Final_Action,1st,China,2023-04-01,0,0,2026-06-22 19:08:28
403.0,2026-06-01,Final_Action,1st,India,2022-12-15,0,0,2026-06-22 19:08:28
404.0,2026-06-01,Final_Action,1st,Mexico,CURRENT,1,0,2026-06-22 19:08:28
405.0,2026-06-01,Final_Action,1st,Philippines,CURRENT,1,0,2026-06-22 19:08:28
406.0,2026-06-01,Final_Action,2nd,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
407.0,2026-06-01,Final_Action,2nd,China,2021-09-01,0,0,2026-06-22 19:08:28
408.0,2026-06-01,Final_Action,2nd,India,2013-09-01,0,0,2026-06-22 19:08:28
409.0,2026-06-01,Final_Action,2nd,Mexico,CURRENT,1,0,2026-06-22 19:08:28
410.0,2026-06-01,Final_Action,2nd,Philippines,CURRENT,1,0,2026-06-22 19:08:28
411.0,2026-06-01,Final_Action,3rd,All_Chargeability_Areas,2024-06-01,0,0,2026-06-22 19:08:28
412.0,2026-06-01,Final_Action,3rd,China,2021-08-01,0,0,2026-06-22 19:08:28
413.0,2026-06-01,Final_Action,3rd,India,2013-12-15,0,0,2026-06-22 19:08:28
414.0,2026-06-01,Final_Action,3rd,Mexico,2024-06-01,0,0,2026-06-22 19:08:28
415.0,2026-06-01,Final_Action,3rd,Philippines,2023-08-01,0,0,2026-06-22 19:08:28
421.0,2026-06-01,Final_Action,4th,All_Chargeability_Areas,2022-07-15,0,0,2026-06-22 19:08:28
422.0,2026-06-01,Final_Action,4th,China,2022-07-15,0,0,2026-06-22 19:08:28
423.0,2026-06-01,Final_Action,4th,India,2022-07-15,0,0,2026-06-22 19:08:28
424.0,2026-06-01,Final_Action,4th,Mexico,2022-07-15,0,0,2026-06-22 19:08:28
425.0,2026-06-01,Final_Action,4th,Philippines,2022-07-15,0,0,2026-06-22 19:08:28
441.0,2026-06-01,Final_Action,5th High Unemployment,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
442.0,2026-06-01,Final_Action,5th High Unemployment,China,CURRENT,1,0,2026-06-22 19:08:28
443.0,2026-06-01,Final_Action,5th High Unemployment,India,CURRENT,1,0,2026-06-22 19:08:28
444.0,2026-06-01,Final_Action,5th High Unemployment,Mexico,CURRENT,1,0,2026-06-22 19:08:28
445.0,2026-06-01,Final_Action,5th High Unemployment,Philippines,CURRENT,1,0,2026-06-22 19:08:28
446.0,2026-06-01,Final_Action,5th Infrastructure,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
447.0,2026-06-01,Final_Action,5th Infrastructure,China,CURRENT,1,0,2026-06-22 19:08:28
448.0,2026-06-01,Final_Action,5th Infrastructure,India,CURRENT,1,0,2026-06-22 19:08:28
449.0,2026-06-01,Final_Action,5th Infrastructure,Mexico,CURRENT,1,0,2026-06-22 19:08:28
450.0,2026-06-01,Final_Action,5th Infrastructure,Philippines,CURRENT,1,0,2026-06-22 19:08:28
436.0,2026-06-01,Final_Action,5th Rural,All_Chargeability_Areas,CURRENT,1,0,2026-06-22 19:08:28
437.0,2026-06-01,Final_Action,5th Rural,China,CURRENT,1,0,2026-06-22 19:08:28
