bulletin_date,1st,2nd,3rd,4th,5th High Unemployment,5th Infrastructure,5th Non-Regional Center (C5 and T5),5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),5th Regional Center (I5 and R5),5th Rural,5th Unreserved,5th Non-Regional Center (C5 and T5),5th Regional Center (I5 and R5),Certain Religious Workers,Other Workers
2024-03-01,2022-07-15,2020-01-01,2020-09-01,2019-12-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,2019-12-01,2017-01-01
2024-04-01,2022-09-01,2020-02-01,2020-09-01,2020-11-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,UNAVAILABLE,2017-01-01
2024-05-01,2022-09-01,2020-02-01,2020-09-01,2020-11-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,2020-11-01,2017-01-01
2024-06-01,2022-09-01,2020-02-01,2020-09-01,2020-11-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,2020-11-01,2017-01-01
2024-07-01,2022-11-01,2020-03-01,2020-09-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,2021-01-01,2017-01-01
2024-08-01,2022-11-01,2020-03-01,2020-09-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,2021-01-01,2017-01-01
2024-09-01,2022-11-01,2020-03-01,2020-09-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-15,,,2021-01-01,2017-01-01
2024-10-01,2022-11-08,2020-03-22,2020-04-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2016-07-15,,,UNAVAILABLE,2017-01-01
2024-11-01,2022-11-08,2020-03-22,2020-04-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2016-07-15,,,2021-01-01,2017-01-01
2024-12-01,2022-11-08,2020-03-22,2020-04-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2016-07-15,,,2021-01-01,2017-01-01
2025-01-01,2022-11-08,2020-04-22,2020-06-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2016-07-15,,,UNAVAILABLE,2017-01-01
2025-02-01,2022-11-08,2020-04-22,2020-07-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2016-07-15,,,2021-01-01,2017-01-01
2025-03-01,2022-11-08,2020-05-08,2020-08-01,2019-08-01,CURRENT,CURRENT,,,,,CURRENT,2016-07-15,,,2019-08-01,2017-01-01
2025-04-01,2022-11-08,2020-10-01,2020-11-01,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,2014-01-22,,,UNAVAILABLE,2017-04-01
2025-05-01,2022-11-08,2020-10-01,2020-11-01,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,2014-01-22,,,UNAVAILABLE,2017-04-01
2025-06-01,2022-11-08,2020-12-01,2020-11-22,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,2014-01-22,,,UNAVAILABLE,2017-04-01
2025-07-01,2022-11-15,2020-12-15,2020-12-01,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,2014-01-22,,,UNAVAILABLE,2017-05-01
2025-08-01,2022-11-15,2020-12-15,2020-12-01,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,2015-12-08,,,UNAVAILABLE,2017-05-01
2025-09-01,2022-11-15,2020-12-15,2020-12-01,UNAVAILABLE,CURRENT,CURRENT,,,,,CURRENT,2015-12-08,,,UNAVAILABLE,2017-05-01
2025-10-01,2022-12-22,2021-04-01,2021-03-01,2020-07-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-08,,,UNAVAILABLE,2017-12-01
2025-11-01,2022-12-22,2021-04-01,2021-03-01,2020-07-01,CURRENT,CURRENT,,,,,CURRENT,2015-12-08,,,UNAVAILABLE,2017-12-01
2025-12-01,2023-01-22,2021-06-01,2021-04-01,2020-09-01,CURRENT,CURRENT,,,,,CURRENT,2016-07-15,,,2020-09-01,2017-12-08
2026-01-01,2023-02-01,2021-09-01,2021-05-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2016-08-15,,,2021-01-01,2018-12-08
2026-02-01,2023-02-01,2021-09-01,2021-05-01,2021-01-01,CURRENT,CURRENT,,,,,CURRENT,2016-08-15,,,UNAVAILABLE,2018-12-08
2026-03-01,2023-03-01,2021-09-01,2021-05-01,2021-07-15,CURRENT,CURRENT,,,,,CURRENT,2016-08-15,,,2021-07-15,2018-12-08
